[# ERROR | 2020-08-28 | 19:21:55.167 | PID=21736 | ThreadId=25796 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-28 | 19:21:55.267 | PID=21736 | ThreadId=25796 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-28 | 19:21:55.331 | PID=21736 | ThreadId=25220 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-28 | 19:28:45.163 | PID=21736 | ThreadId=12360 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-28 | 19:28:45.258 | PID=21736 | ThreadId=6092 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-28 | 19:28:45.358 | PID=21736 | ThreadId=6092 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-28 | 19:28:45.458 | PID=21736 | ThreadId=6092 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-28 | 19:28:45.558 | PID=21736 | ThreadId=6092 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-28 | 19:28:45.658 | PID=21736 | ThreadId=6092 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-28 | 19:28:45.758 | PID=21736 | ThreadId=6092 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-28 | 19:28:45.858 | PID=21736 | ThreadId=6092 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-28 | 19:28:45.958 | PID=21736 | ThreadId=6092 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-28 | 19:28:46.058 | PID=21736 | ThreadId=6092 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-28 | 19:28:46.158 | PID=21736 | ThreadId=6092 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-28 | 19:28:46.258 | PID=21736 | ThreadId=6092 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-28 | 19:28:46.359 | PID=21736 | ThreadId=6092 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-28 | 19:28:46.458 | PID=21736 | ThreadId=6092 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
